nombre,precio
Notebook Lenovo I5 1135g7 Negra 8gb Ram 256gb Ssd 15.6'' (82kb00n5uk) Full Hd Windows11 Home,249.999
Notebook Enova Cloudbook 14 4gb Intel Celeron W 4gb Ram Full,219.999
Notebook 14 Core I3 256gb Ssd 8gb Ram Win10 Aiwa,97.522
Notebook Hp Victus 15-fa0031dx 8gb Ram 512gb Ssd Intel Core I5 Nvidia Geforce Gtx 1650 4gb Gddr6 15.6  Fhd 144hz Windows 11,149.999
"Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",417.999
"Notebook Lenovo IdeaPad 15IML05  abyss blue 15.6"", Intel Core i3 10110U  4GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px Windows 11 Home",519.999
"MacBook Air M2 2022 space gray 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 8-Core GPU 2560x1664px macOS",225.699
Notebook Asus Vivobook I3-1115g4 8gb 256ssd 14 Fhd,599.999
Notebook Lenovo I5-1235u 512gb Ssd 16gb 15.6 Win11 Pro,179.999
Notebook Lenovo Ideapad Slim 7i Ips14 Win 11 8gb Ram 512 Ssd,339.600
Notebook Enova 14 Celeron 4gb 64gb Ssd C141pp-a3-w10h,288.998
Notebook Asus X515ea-ej1627wpi 15.6  Intel  I5 8gb/256 Gb,271.998
Notebook Gamer Msi Gf65 Thin 10ue 15 Pulgadas 144hz Intel Core I5-10500h 8gb De Ram 512gb Ssd Nvidia Geforce Rtx 3060 1920 X 1080 Windows 10,67.699
"Ultrabook Asus ZenBook UX3402ZA ponder azul 14"", Intel Core i5 1240P  16GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 80EUs 90 Hz 2880x1800px Windows 11 Home",260.000
Asus 15.6  Rog Strix G15 Ryzen 7-ram 16gb Ssd 512gb Rtx 3060,234.999
Notebook Asus Vivobook 15 M1502ia-bq146w Ryzen 5 8gb 512gb,450.000
Notebook Enova 4 Gb 64gb Ssd 14  Intel N4200 Ultra Book,364.999
"Notebook Dell Inspiron 3515 azul 15.5"", AMD Ryzen 7 3700U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 10 60 Hz 1920x1080px Windows 11 Home",500.000
Notebook Hp Victus I7-12650h 32gb 512gb Ssd Rtx3050ti,475.000
Asus 15.6  Rog Strix G15 Ryzen 7-ram 16gb Ssd 512gb Rtx 3060,254.299
"Notebook Cx Intel I5 1135g7 8gb Ssd 480gb 15,6 Full Hd C",72.599
"MacBook Air M2 2022 starlight 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 8-Core GPU 2560x1664px macOS",68.969
"Notebook Lenovo IdeaPad 15IML05  platinum gray 15.6"", Intel Core i5 10210U  12GB de RAM 512GB SSD, Intel UHD Graphics 620 1920x1080px Windows 11 Home",262.499
Notebook Iqual Nq4x Intel Core I3 10ma 8gb 1tb 1080p Ips W10,593.499
"Notebook Asus I7 Vivobook 15 512gb Ssd 16gb Ram 4,7 Ghz",500.000
"Notebook Pcbox Fire Pcb-glw2 Iron Gray 14.1 , Intel Celeron N4020 4gb De Ram 128gb Ssd, Intel Uhd Graphics 600 1920x1080px Windows 11",475.000
"Notebook gamer MSI Thin GF63 negra 15.6"", Intel Core i5 9300H  8GB de RAM 256GB SSD, NVIDIA GeForce GTX 1650 1920x1080px Windows 10 Home",234.899
"Notebook HP 17-by4061nr plata 17.3"", Intel Core i5 1135G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 80EUs 1920x1080px Windows 11 Home",899.999
"Notebook Cx Intel I5 1135g7 32gb Ssd 480gb 15,6 Full Hd",337.513
Notebook Hp New Elite I7.3 32gb  1tb Ssd 16gb Video,156.599
"Notebook Asus Intel Core I7 1165g7 512gb 8gb 15,6 Fhd Win11",128.111
Gateway Gwtn141 Ultra Slim Core I5-1135g7 512gb Ssd 16gb,399.999
"Dell Cromebook 11 3189 Touchscreen Laptop 2in1 11,6''4gb32gb",342.499
"Notebook Dell Inspiron 3511 black 15.6"", Intel Core i7 1165G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 96EUs 60 Hz 1920x1080px Linux Ubuntu",85.600
"Apple MacBook Pro (16 pulgadas, Chip M1 Pro de Apple con CPU de 10 núcleos, GPU de 16 núcleos, 16 GB RAM, 1 TB SSD) - gris espacial",526.329
"Notebook Oryx Smart-Pro gris 14.1"", Intel celeron N3350  4GB de RAM 64GB SSD, Intel HD Graphics 500 1366x768px Windows 10 Home",461.800
Notebook Hp Amd Ryzen 7 5700u 12gb 256gb Ssd 15.6  Touchscreen Tactil Windows 11 (15-ef2081ms),225.395
Notebook Iqual Nq5 Intel Core I5 4gb 500gb 1080p Win 10 Full,598.999
Notebook Dell Alienware 15 I7 11800h 16gb 512gb Rtx 3060 W10,359.999
"Notebook VAIO FE15 PIK173390 negra 15.6"", Intel Core i7 10510U  8GB de RAM 1TB HDD, Intel UHD Graphics 620 1920x1080px Windows 10 Home",305.831
Notebook Kelyx Kl3350 Intel Celeron N3350 4gb 64gb 1080p W10,59.999
"Notebook gamer Asus TUF Dash F15 negra eclipse 15.6"", Intel Core i7 11370H  8GB de RAM 512GB SSD, NVIDIA GeForce RTX 3050 Ti 144 Hz 1920x1080px Windows 10",55.249
"Notebook HP 14-fq0033dx plata natural 14"", AMD Ryzen 3 3250U  8GB de RAM 128GB SSD, AMD Radeon RX Vega 3 1366x768px Windows 11 Home",360.000
Notebook Haier M140bi5 14 Intel Core I5 8gb Ram 256gb Ssd,1.199.000
Notebook Hp 15t-dw300 Intel I5 1135g7 8gb 256 Ssd Windows 11,63.859
"Notebook HP 240 G7 plateado ceniza oscuro 14"", Intel Core i3 1005G1  8GB de RAM 1TB HDD, Intel UHD Graphics G1 (Ice Lake 32 EU) 1366x768px Windows 10 Home",288.100
Notebook Acer Aspire 5 - Core I3 A515-54-386u - Plateado,166.999
Notebook Kanji 15.6 Intel Celeron N4100 W10p 4gb Ram Lh,759.999
"Notebook Lenovo V-series V15 G1 Iml Iron Gray 15.6 , Intel Core I3 10110u 8gb De Ram 1tb Hdd, Intel Uhd Graphics 1366x768px Sin So",431.523
Notebook Lenovo Ip 3 14igl05 Celeron N4120 4gb 256gb Ssd W11,60.900
Notebook Dell Latitude E7470 Core I5 6ta 8gb Ram + 240gb Ssd,459.999
"Notebook Acer Chromebook C733 negra 11.6"", Intel Celeron N4020  4GB de RAM 32GB SSD, Intel UHD Graphics 600 60 Hz 1366x768px Google Chrome",189.999
"Notebook HP 14-dq2024la plateada natural 14"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 10 Home",163.999
