nombre,precio
Notebook Hp 530 Core 2 Duo Para Repuestos,12.000
Notebook Lenovo Ideapad S145-15iwl  Repuestos,300
Notebook Dell Latitude 5490,120.000
Notebook Exo Smart R7 Core I5 Para Repuestos Por Partes,5.620
Notebook Dell 14-5458 En Caja Con Cargador.excelente Estado,95.000
Macbook Pro 15  Año 2010,79.000
Notebook Hp 440 G6 I5 8va-16 Ram-512 Ssd M.2 + 1tb Hhd,140.000
Consulta Repuestos // Partes Exo Smart E17,99.000
Notebook Vit P2402 Solo Repuestos,350
"Macbook Pro 16 , Intel I7, 16 Ram, 500 Ssd - 2019 A2141",390.000
Notebook Lenovo Thinkpad L440 I5 4300 2.6ghz 8 Gb 128gb Ssd,100.000
Repuestos Notebook Dell Studio 1558 Pp39l,2.500
Notebook Lenovo Thinkpad T440p Core I5 4gb / Ram 500gb Hdd,76.900
Notebook Asus K53e/s En Caja. Ssd 240/ 4gb Ram. Win 10 Home,69.900
Consulta Repuestos // Partes Hp G60-230us,99.000
Notebook Lenovo Ideapad S145 - 1tb - 4 Gb Win 10,98.997
Consulta Repuestos // Partes Asus S510u,99.000
Bangho Bes 1308 I5-3320m (con Detalles A Completar)*,33.000
Notebook Lenovo G460,70.000
Macbook Pro A1398 Retina Core I7 Impecable,245.000
Asus X541u I5-7200u (con Detalles A Completar),72.600
Notebook Lenovo X1 Carbón 6 Gen I7 2.1 16gb 240gb Ssd Táctil,182.160
Macbook Pro A1278 Core 2 Duo 6gb 240ssd Tec Esp Fact A/b,73.999
Notebook Dell C -11309 Desarme!!! Consulte Repuestos !!,400
Dell Inspiron 1420 Pp26l  Oportunidad!!!!,8.000
Notebook Dell Inspiron 7506 2n1 Intel I7 16gb 1tb Ssd,450.000
Notebook Bangho B215xhu I5 Intel Ssd 512gb Evo 12 Gb Ram,80.000
Hp Touchsmart Tx2 1025 Repuestos O Completa,7.000
Notebook Dell Latitude 7490 Core I5 128ssd 8gb Win 11,120.000
Notebook Asus X55a Series,64.999
Notebook Lenovo  Idea Pad 320,85.000
Notebook Lenovo Thinkpad Edge Inmaculada,45.000
Macbook Pro Retina 15 Model A1398 256 Ddr3 16gb Mid 2014,240.000
Notebook Hp Pavilion Dv4 Blanca Rep.,4.000
Lenovo E470 I7-6500u (con Detalles A Completar),72.600
Acer Aspire E15 E5-575-521f Como Nueva,140.000
Consulta Repuestos // Partes Lenovo G580,99.000
"Asus X555la I3, Ram 8gb, Hdd 500gb",95.000
Consulta Repuestos // Partes Tcl Tcla05 2320,99.000
"Cx Mercury Celeron 1037u, 4gb Ram, 500gb Disco W10",34.999
Macbook Air 13'' 2017 I5 8gb Ram 128ssd + Cargador - Leer,149.999
Macbook Pro 17 Pulgadas A1297 A Reparar O Repuestos,45.000
Dell 7490 I7-8650u (con Detalles A Completar),85.800
Notebook Hp G42 372la 6gb Ram Procesador I5,69.000
Repuestos Notebook Ibm Think Pad T60,1.800
Notebook Lenovo T460 I5-6300u 2.4 6gen 8gb 512gb Ssd Táctil,138.480
Notebook Lenovo Amd 8gb Ssd 120gb Perfecto Estado Almagro,90.000
Notebook Dell Inspiron 14-5458,165.000
Notebook Acer Aspire E5 -574,70.000
Dell Inspiron 6400 Laptop,30.000
