nombre,precio
"Notebook Gateway Ultra Slim GWNR71517 blue 15.6"", AMD Ryzen 7 3700U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 10 1920x1080px Windows 11 Home",219.999
"MacBook Air M2 2022 space gray 13.6"", Apple M2  8GB de RAM 256GB SSD, Apple M2 8-Core GPU 2560x1664px macOS",599.999
"Notebook Lenovo IdeaPad 15IML05  abyss blue 15.6"", Intel Core i3 10110U  4GB de RAM 256GB SSD, Intel UHD Graphics 620 1920x1080px Windows 11 Home",225.699
Notebook Hp Victus 15-fa0031dx 8gb Ram 512gb Ssd Intel Core I5 Nvidia Geforce Gtx 1650 4gb Gddr6 15.6  Fhd 144hz Windows 11,417.999
"Ultrabook Asus ZenBook UX3402ZA ponder azul 14"", Intel Core i5 1240P  16GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 80EUs 90 Hz 2880x1800px Windows 11 Home",364.999
"Notebook Lenovo IdeaPad 14IIL05  platinum gray 14"", Intel Core i5 1035G1  8GB de RAM 512GB SSD, Intel UHD Graphics G1 1920x1080px Windows 10 Home",265.999
Notebook 14 Core I3 256gb Ssd 8gb Ram Win10 Aiwa,149.999
Asus 15.6  Rog Strix G15 Ryzen 7-ram 16gb Ssd 512gb Rtx 3060,500.000
Notebook Hp New Elite I7.3 32gb  1tb Ssd 16gb Video,475.000
"Notebook Dell Inspiron 3505 silver 15.6"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 60 Hz 1366x768px Windows 11 Home",598.999
"Notebook Dell Inspiron 3515 azul 15.5"", AMD Ryzen 7 3700U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 10 60 Hz 1920x1080px Windows 11 Home",299.999
Notebook Iqual Nq4x Intel Core I3 10ma 8gb 1tb 1080p Ips W10,229.999
"Notebook Cx Intel I3 1115g4 16gb Ssd 240gb 15,6 Full Hd",250.799
"Notebook Asus I7 Vivobook 15 512gb Ssd 16gb Ram 4,7 Ghz",159.999
"Cloudbook Ca141-c Aiwa 14,1´ 4gb Ram - 128gb",145.495
"Notebook Pcbox Fire Pcb-glw2 Iron Gray 14.1 , Intel Celeron N4020 4gb De Ram 128gb Ssd, Intel Uhd Graphics 600 1920x1080px Windows 11",399.999
"Notebook Cx Intel I5 1135g7 16gb Ssd 240gb 15,6 Full Hd",342.499
