nombre,precio
Notebook Lenovo X270 I5-6300u 2.4ghz 6ta Gen 8gb 240gb Nvme,93.400
Notebook Lenovo Ideapad S145-15iwl  Repuestos,300
Notebook Modelo X555l,70.000
Notebook Hp 530 Core 2 Duo Para Repuestos,12.000
Notebook Exo Smart R7 Core I5 Para Repuestos Por Partes,5.620
Notebook Lenovo B51-30 Funciona Ok Caja Original Manuales,68.000
Notebook Vit P2402 Solo Repuestos,350
Notebook Cx Intel Core I7 8gb + 1tb,168.000
Notebook Dell 14-5458 En Caja Con Cargador.excelente Estado,95.000
Consulta Repuestos // Partes Exo Smart E17,99.000
"Macbook Pro 16 , Intel I7, 16 Ram, 500 Ssd - 2019 A2141",390.000
Macbook Pro 15  Año 2010,79.000
Notebook Asus K53e/s En Caja. Ssd 240/ 4gb Ram. Win 10 Home,69.900
"Cx Mercury Celeron 1037u, 4gb Ram, 500gb Disco W10",34.999
Notebook Lenovo Thinkpad T440p Core I5 4gb / Ram 500gb Hdd,76.900
Consulta Repuestos // Partes Asus S510u,99.000
Bangho Bes 1308 I5-3320m (con Detalles A Completar)*,33.000
"Repuestos Bgh Z 100, Sin Display.",9.500
Macbook Pro A1398 Retina Core I7 Impecable,245.000
Notebook Lenovo T450 2.3ghz 5300u 5ta Gen 8gb 1tb Hdd Táctil,94.400
Acer Aspire E15 E5-575-521f Como Nueva,140.000
Notebook Lenovo G460,70.000
Hp Touchsmart Tx2 1025 Repuestos O Completa,7.000
Notebook Tablet Lenovo D330 Intel N4020 4gb 64gb W10 Openbox,90.000
Consulta Repuestos // Partes Lenovo B320,99.000
Notebook Lenovo Ideapad S145 - 1tb - 4 Gb Win 10,98.997
Macbook Pro Retina 15 Model A1398 256 Ddr3 16gb Mid 2014,210.000
Notebook Lenovo Thinkpad L440 I5 4300 2.6ghz 8 Gb 128gb Ssd,100.000
Notebook Asus X55a Series,64.999
Notebook Asus 17,87.500
Macbook Pro Mid 2012 Impecable Con 8gb De Ram Y Ssd 240gb,110.000
Repuestos Notebook Ibm Think Pad T60,1.800
Lenovo E470 I7-6500u (con Detalles A Completar),72.600
Notebook Dell Latitude 7490 8 Gb Ram I7-8650u 256gb Ssd 14,250.000
Notebook Hp Pavilion Dv4 Blanca Rep.,4.000
Dell Inspiron 1420 Pp26l  Oportunidad!!!!,8.000
Asus X541u I5-7200u (con Detalles A Completar),72.600
Notebook Toshiba Sattelite Radius P55w-b5224 Usada Falla,40.000
Notebook Octopus Muy Poco Uso,101.900
Dell 7490 I7-8650u (con Detalles A Completar),85.800
Mini Notebook Bgh Ql 300,55.000
Notebook Dell Latitude 7490 Core I5 128ssd 8gb Win 11,120.000
Notebook Dell Inspiron 14-3467 Intel I5 8gb Ram 1tb,110.000
Notebook Bangho B-x0x1 - Display/2gb Ram/teclado/ Repuestos,7.000
Macbook Pro A1278 Core 2 Duo 6gb 240ssd Tec Esp Fact A/b,68.999
Notebook Dell Inspiron 7506 2n1 Intel I7 16gb 1tb Ssd,450.000
Notebook Lenovo X270 I5-6300u 2.4ghz 6ta Gen 8gb 240gb Nvme,93.800
Notebook/laptop Hp 15-da0xxx Windows 11.,75.000
Notebook Dell C -11309 Desarme!!! Consulte Repuestos !!,400
Notebook Lenovo X1 Carbón 6 Gen I7 2.1 16gb 240gb Ssd Táctil,151.800
